topic,difficulty,question,option_a,option_b,option_c,option_d,answer
Probability,Medium,"If two dice are thrown, what is the probability of getting a sum of 7?",1/6,1/5,1/4,1/3,A
Percentages,Medium,A number is reduced by 10% and becomes 450. Find the original number.,480,500,520,540,B
Percentages,Easy,Find 5% of 600.,25,30,35,40,B
Ratios,Hard,"If the ratio of boys to girls is 7:5 and total students are 360, find the number of boys.",200,210,220,230,B
Verbal Reasoning,Hard,Choose the word that is most opposite to 'Silent'.,Noisy,Loud,Quiet,Hearing,A
Probability,Hard,"What is the probability of selecting a number less than 5 from the set {1, 2, 3, 4, 5, 6}?",2/6,1/6,3/6,4/6,A
Verbal Reasoning,Medium,"Choose the odd one out: Sun, Moon, Star, Planet, Earth.",Planet,Moon,Earth,Star,C
Probability,Medium,"In a class of 30 students, 18 are boys. What is the probability of selecting a girl?",2/5,3/5,4/5,1/5,B
Number Series,Medium,"What comes next in the series: 2, 5, 10, 17, ...?",24,25,26,27,A
Number Series,Easy,"What comes next in the series: 2, 8, 18, 32, ...?",50,60,70,80,B
Verbal Reasoning,Easy,Which is the odd one out?,Apple,Banana,Carrot,Grapes,C
Verbal Reasoning,Hard,Which of the following does not belong?,Speech,Writing,Reading,Running,D
Number Series,Easy,"What comes next in the series: 5, 10, 15, 20, ...?",25,26,27,28,A
Ratios,Hard,Three numbers are in ratio 1:2:3. Their sum is 180. Find the numbers.,"30, 60, 90","20, 40, 60","25, 50, 75","35, 70, 105",A
Percentages,Easy,Find 2% of 500.,10,15,20,25,A
Ratios,Easy,Divide 100 in the ratio 1:2.,25 and 75,30 and 70,40 and 60,50 and 50,A
Verbal Reasoning,Hard,"Choose the odd one out: Water, Fire, Earth, Air, Wood.",Wood,Earth,Fire,Water,A
Number Series,Medium,"What comes next in the series: 3, 6, 12, 24, ...?",48,50,52,54,A
Percentages,Easy,"If 12% of x is 36, find x.",200,250,300,400,C
Percentages,Hard,"A man spends 85% of his income. If his income is 40000, find his savings.",5000,5500,6000,6500,A
Number Series,Hard,"What comes next in the series: 10, 20, 40, 80, ...?",160,170,180,190,A
Ratios,Medium,Ratio of 50 paise to 2 rupees?,1:2,1:4,2:5,1:3,B
Percentages,Medium,"A's salary is 25% more than B's. If B's salary is 20000, find A's.",24000,25000,26000,27000,A
Number Series,Easy,"What comes next in the series: 3, 6, 9, 12, ...?",13,14,15,16,C
Percentages,Hard,"If a price is increased by 20% and then reduced by 20%, find the net change.",Increase 4%,Decrease 4%,No change,Increase 2%,B
Percentages,Hard,Find the number whose 15% is 90.,580,600,620,640,B
Number Series,Easy,"What comes next in the series: 2, 4, 6, 8, ...?",10,12,14,16,A
Ratios,Medium,A and B share profits in ratio 3:5. Total profit is 16000. Find A's share.,6000,7000,8000,9000,A
Percentages,Hard,"If a number is first increased by 40% and then decreased by 30%, find the net change.",Decrease 2%,Increase 2%,Increase 5%,Decrease 5%,B
Probability,Medium,What is the probability of drawing a red card from a deck of 52 cards?,1/2,1/4,1/3,1/6,A
Number Series,Hard,"What comes next in the series: 4, 9, 16, 25, ...?",36,38,40,42,A
Ratios,Hard,Three numbers are in the ratio 2:3:5. Their sum is 1000. Find the largest number.,400,500,600,700,B
